Supervisor,EmpID,JobFamily,DepartmentType,BusinessUnit,NumOfReports
Peter Oneill,3427,Production,Production       ,CCDR,1
Renee Mccormick,3428,Production,Production       ,EW,1
Crystal Walker,3429,Sales,Sales,PL,1
Rebekah Wright,3430,Sales,Sales,CCDR,1
Jason Kim,3431,Sales,Sales,TNS,1
Sheri Campos,3432,Sales,Sales,BPC,1
Jacob Braun,3433,Sales,Sales,WBL,1
Tracy Marquez,3434,Sales,Sales,CCDR,1
Sharon Becker,3435,Sales,Sales,NEL,1
George Jenkins,3436,Sales,Sales,BPC,1
Troy White,3437,Sales,Sales,SVG,1
Brian Miller,3438,Sales,Sales,MSC,1
Charles Parks,3439,Sales,Sales,EW,1
Gregory Walker,3440,Sales,Sales,CCDR,1
Tyler Lewis,3441,Sales,Sales,BPC,1
Ashley Scott,3442,Sales,IT/IS,PYZ,1
Lauren Jones,3443,Sales,IT/IS,WBL,1
Matthew Jackson,3444,Sales,Sales,NEL,1
Michelle Mitchell,3445,Sales,Sales,PL,1
Sydney French,3446,Sales,Sales,BPC,1
Michelle Evans MD,3447,Sales,Sales,CCDR,1
Patricia Cook,3448,Sales,Sales,SVG,1
Ashley Reeves,3449,Sales,Sales,EW,1
Stanley Harvey,3450,Sales,Sales,MSC,1
Michael Bradshaw,3451,Sales,Sales,TNS,1
Debbie Crosby,3452,Sales,Sales,PYZ,1
Elizabeth Taylor,3453,Sales,Sales,WBL,1
Brian Dunlap,3454,Sales,IT/IS,PYZ,1
Daniel Rodriguez,3455,Sales,Sales,WBL,1
Martin Hammond,3456,Sales,Sales,NEL,1
Sara Bell,3457,Sales,Sales,PL,1
Elizabeth Anderson,3458,Sales,Sales,BPC,1
Erin Bailey,3459,Sales,Sales,CCDR,1
Dennis Henderson,3460,Sales,Sales,SVG,1
Tammy Conner,3461,Sales,Sales,EW,1
Brianna Mathews,3462,Sales,Sales,MSC,1
Jessica Peters,3463,Sales,Sales,TNS,2
Mark Harris,3464,Sales,Sales,PYZ,1
Elizabeth Tapia,3465,Sales,Sales,WBL,1
Jon Holden,3466,Sales,IT/IS,PYZ,1
Michael Odonnell,3467,Sales,Sales,WBL,1
Andres Parker,3468,Sales,Sales,NEL,1
James Berry,3469,Sales,Sales,PL,1
Gail Ali,3470,Sales,Sales,BPC,1
John Marshall,3471,Sales,Sales,CCDR,1
Jessica Chang,3472,Sales,Sales,SVG,1
Desiree Vang,3473,Sales,Sales,EW,1
Andrew Goodman,3474,Sales,Sales,MSC,1
Rebecca Simpson,3475,Sales,Sales,TNS,1
Samantha Cardenas,3476,Sales,Sales,PYZ,1
Nancy Johnson,3477,Sales,IT/IS,PYZ,1
Richard Hodges,3478,Sales,Sales,WBL,1
Madison Wilson,3479,Sales,Sales,NEL,1
Eric King,3480,Sales,Sales,PL,1
Brandon Harris,3481,Sales,Sales,BPC,1
Matthew Flores,3482,Sales,Sales,CCDR,1
Krystal Hamilton,3483,Sales,Sales,SVG,1
Amber Hernandez,3484,Sales,Sales,EW,1
Patricia Smith,3485,Sales,Sales,MSC,1
Victoria Krause,3486,Sales,Sales,TNS,1
Jesse Hunt,3487,Sales,Sales,BPC,1
Shane Jones,3488,Sales,Sales,CCDR,1
Jessica Murphy,3489,Sales,Sales,EW,1
Crystal Wallace,3490,Sales,Sales,MSC,1
Tina Nelson,3491,Sales,Sales,NEL,1
Ashley Smith,3492,Sales,Sales,PL,1
Eric Taylor,3493,Sales,Sales,PYZ,1
Jacob Snyder,3494,Sales,Sales,SVG,1
Daniel Cabrera,3495,Sales,Sales,TNS,1
Barbara Garcia,3496,Sales,Sales,WBL,1
Kendra Murray,3497,Sales,Sales,TNS,1
Peter Harvey,3498,Sales,Sales,PYZ,1
Patrick Daniel,3499,Sales,Sales,WBL,1
Bryan Douglas,3500,Sales,Sales,NEL,1
Destiny Hopkins,3501,Sales,Sales,PL,1
Angela Morris,3502,Sales,Sales,BPC,1
Erica Franklin,3503,Sales,Sales,CCDR,1
Gabriela Orr,3504,Sales,Sales,SVG,1
Michael Wilkins,3505,Sales,Sales,EW,1
Jordan Vega,3506,Sales,Sales,MSC,1
John Miller,3507,Sales,Sales,TNS,1
Trevor Adkins,3508,Sales,Sales,CCDR,1
Marcus Hunt,3509,Sales,Sales,BPC,1
Jennifer King,3510,Sales,Sales,PYZ,1
Shawn Dudley,3511,Sales,Sales,WBL,1
Lindsay Chang,3512,Sales,Sales,NEL,1
Sharon Ruiz,3513,Sales,Sales,PL,1
April Randolph,3514,Sales,Sales,BPC,1
Mary Reilly,3515,Sales,Sales,CCDR,1
Eric Goodman,3516,Sales,Sales,SVG,1
Caleb Schneider,3517,Sales,Sales,EW,1
Cheryl Henry,3518,Sales,Sales,MSC,1
Dan Hernandez,3519,Sales,Sales,TNS,1
Teresa Daniel,3520,Sales,Sales,TNS,1
Melissa Decker,3521,Sales,Sales,WBL,1
Michael Nguyen,3522,Sales,Sales,BPC,1
Tony Mcconnell,3523,Sales,Sales,CCDR,1
Adam Gibson,3524,Sales,Sales,EW,1
Stephanie Duke,3525,Sales,Sales,MSC,1
Paige Flores MD,3526,Sales,Sales,NEL,1
Hannah Snyder,3527,Sales,Sales,PL,1
William Ayala,3528,Sales,Sales,PYZ,1
Samuel Moore,3529,Sales,Sales,SVG,1
Jenna Weaver,3530,Sales,Sales,TNS,1
Dylan Blake,3531,Sales,Sales,WBL,1
Monique Anderson,3532,Sales,IT/IS,EW,1
Kelsey Gibson,3533,Sales,Sales,MSC,1
Sonia Diaz,3534,Sales,Sales,TNS,1
Brian Morton,3535,Sales,Sales,PYZ,1
Thomas Holmes,3536,Sales,Sales,WBL,1
Dawn Perez,3537,Sales,Sales,NEL,1
Diane Parker,3538,Sales,Sales,PL,1
John Johnson,3539,Sales,Sales,BPC,1
Dakota Robinson,3540,Sales,Sales,CCDR,1
Melanie Garcia,3541,Sales,Sales,SVG,1
Amanda Knight,3542,Sales,Sales,EW,1
Kimberly Cardenas,3543,Sales,Sales,MSC,1
Laura Salinas,3544,Sales,Sales,TNS,1
Andres Jones,3545,Sales,IT/IS,EW,1
Jeffrey Huffman,3546,Sales,Sales,CCDR,1
Sara Edwards,3547,Sales,Sales,BPC,2
Stephen Garcia,3548,Sales,Sales,WBL,1
Tracy Castro MD,3549,Sales,Sales,TNS,1
Jennifer Hicks,3550,Sales,Sales,SVG,1
Victoria Bailey,3551,Sales,Sales,PYZ,1
Maria Chan,3552,Sales,Sales,PL,1
Regina Martinez,3553,Sales,Sales,NEL,1
Tonya Martin,3554,Sales,Sales,MSC,1
Daniel Wolf,3555,Sales,Sales,EW,1
Sarah Petersen,3556,Sales,Sales,CCDR,1
Victoria Christian DDS,3557,Sales,Sales,BPC,1
Erin Moore,3558,Production,Production       ,MSC,1
Andrea Gutierrez,3559,Production,Production       ,NEL,1
Wanda Ross DDS,3560,Production,Production       ,MSC,1
Steven King,3561,Production,Production       ,BPC,1
Stephen Rodriguez,3562,Production,Production       ,CCDR,1
Patricia Carter,3563,Production,Production       ,WBL,1
Diana Johnson,3564,Production,Production       ,SVG,1
Diana Good,3565,Production,Production       ,WBL,1
Desiree Stephens,3566,Production,Production       ,PL,1
Debra Garcia,3567,Production,Production       ,EW,1
Susan Brown,3568,Production,Production       ,EW,1
Margaret Hampton,3569,Production,Production       ,MSC,1
Brandon Miller,3570,Production,Production       ,TNS,1
Dr. Matthew Schmitt,3571,Production,Production       ,NEL,1
Shawn Berry,3572,Production,Production       ,WBL,1
Brittany Martin,3573,Production,Production       ,NEL,1
Timothy Weaver,3574,Production,Production       ,WBL,1
Amanda Smith,3575,Production,Production       ,MSC,1
Marc Cummings,3576,Production,Production       ,PL,1
James Rodriguez,3577,Production,Production       ,BPC,1
Elizabeth Sullivan MD,3578,Production,Production       ,WBL,1
Sean Marsh,3579,Production,Production       ,BPC,1
Kathryn Wilkinson,3580,Production,Production       ,PYZ,1
Paul Walker,3581,Production,Production       ,SVG,1
Elizabeth Robertson,3582,Production,Production       ,TNS,1
Tasha Mayer,3583,Production,Production       ,WBL,1
Chris Walker,3584,Production,Production       ,BPC,1
Traci Floyd,3585,Production,Production       ,CCDR,1
Veronica Wiley,3586,Production,Production       ,EW,1
Katherine Gay,3587,Production,Production       ,MSC,1
Paul Lopez,3588,Production,Production       ,NEL,1
Jay Bush,3589,Production,Production       ,PL,1
Jessica Allen,3590,Production,Production       ,PYZ,1
Dr. William Thompson,3591,Production,Production       ,SVG,1
Mrs. Audrey Gonzalez DDS,3592,Production,Production       ,TNS,1
Ashley Bradshaw,3593,Production,Production       ,WBL,1
Ashley Meyer,3594,Production,Production       ,PYZ,1
Nicole Delgado,3595,Production,Production       ,WBL,1
John Henry,3596,Production,Production       ,NEL,1
Autumn Decker,3597,Production,Production       ,PYZ,1
Alex Moore,3598,Production,Production       ,SVG,1
Dana Smith,3599,Production,Production       ,TNS,1
Bobby Serrano,3600,Production,Production       ,WBL,1
Robert Riley,3601,Production,Production       ,BPC,1
Crystal Mcneil,3602,Production,Production       ,CCDR,1
Christine Costa,3603,Production,Production       ,EW,1
Mark Hale,3604,Production,Production       ,MSC,1
Destiny Johnson,3605,Production,Production       ,CCDR,1
Eric Gonzales,3606,Production,Production       ,SVG,1
Christopher Murray,3607,Production,Production       ,EW,1
Ashley Williamson,3608,Production,Production       ,MSC,1
Frederick Harrison,3609,Production,Production       ,TNS,1
Brian Arnold,3610,Production,Production       ,PYZ,1
Lori Reed,3611,Production,Production       ,WBL,1
Trevor Rodriguez,3612,Production,Production       ,NEL,1
Jason Owens,3613,Production,Production       ,PL,1
Clifford Martinez,3614,Production,Production       ,BPC,1
Lee Hudson,3615,Production,Production       ,CCDR,1
Allison Tran,3616,Production,Production       ,SVG,1
Pamela Johnson,3617,Production,Production       ,EW,1
Erin Harris,3618,Production,Production       ,MSC,1
Robert Wright,3619,Production,Production       ,TNS,1
Mr. Nicholas Austin,3620,Production,Production       ,PYZ,1
Natalie Cannon,3621,Production,Production       ,WBL,1
Christopher Ayers,3622,Production,Production       ,SVG,1
Elizabeth Burton,3623,Production,Production       ,EW,1
Timothy Curtis,3624,Production,Production       ,MSC,1
Tammy Navarro,3625,Production,Production       ,TNS,1
Natalie Baker,3626,Production,Production       ,PYZ,1
Jesse Wilson,3627,Production,Production       ,WBL,1
Megan Small,3628,Production,Production       ,NEL,1
Dr. David Austin Jr.,3629,Production,Production       ,NEL,1
Scott Davis,3630,Production,Production       ,MSC,1
Kristin Salinas,3631,Production,Production       ,EW,1
Bridget Jones,3632,Production,Production       ,CCDR,1
Melissa Wilkinson,3633,Production,Production       ,BPC,1
Eric Cunningham,3634,Production,Production       ,PYZ,1
Stephen Barron,3635,Production,Production       ,WBL,1
Jennifer Soto,3636,Production,Production       ,NEL,1
John Jones,3637,Production,Production       ,PL,2
Ernest Evans,3638,Production,Production       ,BPC,1
Mark Knight,3639,Production,Production       ,CCDR,1
Gina Leon,3640,Production,Production       ,SVG,1
Eric Michael,3641,Production,Production       ,EW,1
Alexandra Martin,3642,Production,Production       ,MSC,1
Eric Calderon,3643,Production,Production       ,TNS,1
Thomas Jones,3644,Production,Production       ,PYZ,2
Bridget Mills,3645,Production,Production       ,WBL,1
Sara Bullock,3646,Production,Production       ,SVG,1
Craig Leblanc,3647,Production,Production       ,EW,1
Peter Smith,3648,Production,Production       ,MSC,2
Stephen Green,3649,Production,Production       ,TNS,2
Jason Jenkins,3650,Production,Production       ,PYZ,1
Chad Jones,3651,Production,Production       ,WBL,1
Victoria Maldonado,3652,Production,Production       ,NEL,1
William Watson,3653,Production,Production       ,PL,1
Jody Cox,3654,Production,Production       ,PYZ,1
Shelia Good,3655,Production,Production       ,SVG,1
Darlene Green,3656,Production,Production       ,TNS,1
Christine Mccarthy,3657,Production,Production       ,WBL,1
Thomas Jackson,3658,Production,Production       ,BPC,2
Eric Powell,3659,Production,Production       ,CCDR,1
Joel Browning,3660,Production,Production       ,EW,1
Denise Roman,3661,Production,Production       ,MSC,1
Linda Cummings,3662,Production,Production       ,NEL,1
Sean Kennedy,3663,Production,Production       ,PL,1
Robert Reid,3664,Production,Production       ,PYZ,1
Lucas Morse,3665,Production,Production       ,SVG,1
Melissa Shaw,3666,Production,Production       ,TNS,1
Brooke Meyer,3667,Production,Production       ,WBL,1
Christopher Clark,3668,Production,Production       ,BPC,2
Joshua Francis,3669,Production,Production       ,CCDR,1
Walter Shaw,3670,Production,Production       ,SVG,1
Alexander Roberts,3671,Production,Production       ,EW,1
Aaron Holland,3672,Production,Production       ,MSC,1
Casey Morris,3673,Production,Production       ,TNS,1
Sarah Williamson,3674,Production,Production       ,BPC,1
Melissa Torres,3675,Production,Production       ,CCDR,2
Craig Hawkins,3676,Production,Production       ,BPC,1
Matthew Hughes,3677,Production,Production       ,CCDR,1
Chad Ramirez,3678,Production,Production       ,SVG,1
Erica Moore,3679,Production,Production       ,EW,1
Felicia Ashley,3680,Production,Production       ,MSC,1
James Williams,3681,Production,Production       ,TNS,1
Michael Diaz MD,3682,Production,Production       ,PYZ,1
Mackenzie Porter,3683,Production,Production       ,WBL,1
Robert Simmons,3684,Production,Production       ,NEL,1
Jordan Harrison,3685,Production,Production       ,PL,1
Jesse Farmer,3686,Production,Production       ,BPC,1
Brianna Blake,3687,Production,Production       ,CCDR,1
Kathleen Clark,3688,Production,Production       ,SVG,1
Jonathan Gutierrez,3689,Production,Production       ,EW,1
Adam Barber,3690,Production,Production       ,MSC,1
David Valenzuela,3691,Production,Production       ,TNS,1
Lisa Jordan,3692,Production,Production       ,PYZ,1
Alexa Smith,3693,Production,Production       ,SVG,1
Sue Harper,3694,Production,Production       ,EW,1
Savannah Schneider,3695,Production,Production       ,MSC,1
Chase Ramirez,3696,Production,Production       ,TNS,1
Connor Galloway,3697,Production,Production       ,PYZ,1
Savannah Weber,3698,Production,Production       ,WBL,1
Justin Harris,3699,Production,Production       ,PYZ,1
Wendy Rogers,3700,Production,Production       ,PL,1
Bryan Greer,3701,Production,Production       ,NEL,1
David Brown,3702,Production,Production       ,MSC,1
Cory Lee,3703,Production,Production       ,EW,1
April Stevens,3704,Production,Production       ,CCDR,1
Bridget Little,3705,Production,Production       ,BPC,1
Lisa Hamilton,3706,Production,Production       ,WBL,1
Kenneth Keller,3707,Production,Production       ,TNS,1
Morgan Smith,3708,Production,Production       ,SVG,1
Donald Powell,3709,Production,Production       ,PYZ,1
Rebecca Henderson,3710,Production,Production       ,PL,1
David Bowman,3711,Production,Production       ,NEL,1
Christopher Robertson,3712,Production,Production       ,MSC,1
Michelle Miller,3713,Production,Production       ,EW,2
Kyle Turner,3714,Production,Production       ,CCDR,1
Dawn Mendoza,3715,Production,Production       ,BPC,1
David Goodman,3716,Production,Production       ,SVG,1
Samuel Turner,3717,Production,Production       ,EW,1
Claudia White,3718,Production,Production       ,MSC,1
David Ward,3719,Production,Production       ,TNS,1
Andrew Schneider,3720,Production,Production       ,PYZ,1
Loretta Gonzalez,3721,Production,Production       ,NEL,1
Alice Key,3722,Production,Production       ,PL,1
Ryan Downs,3723,Production,Production       ,BPC,1
Alyssa Johnson,3724,Production,Production       ,CCDR,1
Stephanie Patterson,3725,Production,Production       ,SVG,1
Sandra Richardson,3726,Production,Production       ,EW,1
Courtney Garcia,3727,Production,Production       ,MSC,1
Tamara Grant,3728,Production,Production       ,TNS,1
Natasha Spears,3729,Production,Production       ,BPC,1
Sharon Vincent,3730,Production,Production       ,CCDR,1
Kimberly Phelps,3731,Production,Production       ,EW,1
Charles Hoover,3732,Production,Production       ,MSC,1
Deborah Stevens,3733,Production,Production       ,NEL,1
Melissa Alvarez,3734,Production,Production       ,PL,1
Joel Nichols,3735,Production,Production       ,PYZ,1
Kimberly Soto,3736,Production,Production       ,SVG,2
John Hill,3737,Production,Production       ,TNS,1
Steven Carter,3738,Production,Production       ,SVG,1
Rachel Pham,3739,Production,Production       ,EW,1
Christopher Cunningham,3740,Production,Production       ,MSC,1
Brittany Marshall,3741,Production,Production       ,TNS,1
Ryan Anderson,3742,Production,Production       ,PYZ,1
Stephanie Valdez,3743,Production,Production       ,WBL,1
Christopher Garcia,3744,Production,Production       ,NEL,2
Sarah Cross,3745,Production,Production       ,PL,1
Judy Lambert,3746,Production,Production       ,BPC,1
Chelsea Bright,3747,Production,Production       ,CCDR,1
Shawn Mckay,3748,Production,Production       ,SVG,1
Samantha Pugh,3749,Production,Production       ,EW,1
Sheryl Curtis,3750,Production,Production       ,MSC,1
Eric Knight,3751,Production,Production       ,TNS,1
Morgan Ross,3752,Production,Production       ,PYZ,1
Laura Mcpherson,3753,Production,Production       ,WBL,1
Sarah Morgan,3754,Production,Production       ,NEL,1
Emily Church,3755,Production,Production       ,PL,1
Melissa Hernandez,3756,Production,Production       ,BPC,1
Debra Yang,3757,Production,Production       ,CCDR,1
Alejandro Palmer,3758,Production,Production       ,SVG,1
Emily Pugh,3759,Production,Production       ,EW,1
Sherry Morris,3760,Production,Production       ,MSC,1
Melissa Conrad,3761,Production,Production       ,CCDR,1
Lauren Villarreal,3762,Production,Production       ,SVG,1
Randall Williams,3763,Production,Production       ,EW,1
Tiffany Stone,3764,Production,Production       ,MSC,1
Eric Smith,3765,Production,Production       ,TNS,1
Taylor Morris,3766,Production,Production       ,PYZ,1
Zachary Nelson,3767,Production,Production       ,TNS,1
David Garcia,3768,Production,Production       ,SVG,2
Laura Chavez,3769,Production,Production       ,PYZ,1
Rachel Jones,3770,Production,Production       ,PL,1
Kathryn Jones,3771,Production,Production       ,NEL,1
Mrs. Rachel Henry,3772,Production,Production       ,MSC,1
Laura Hernandez,3773,Production,Production       ,EW,1
Justin Stanley,3774,Production,Production       ,CCDR,1
Amy Ross,3775,Production,Production       ,BPC,1
Benjamin Yates,3776,Production,Production       ,WBL,1
Penny Estrada,3777,Production,Production       ,TNS,1
Frank Freeman,3778,Production,Production       ,SVG,1
Regina Bryant MD,3779,Production,Production       ,PYZ,1
Samantha Roberts,3780,Production,Production       ,PL,1
Daniel Peterson,3781,Production,Production       ,NEL,1
Dr. Matthew Harrell,3782,Production,Production       ,MSC,1
Jared Whitehead,3783,Production,Production       ,EW,1
William Price,3784,Production,Production       ,CCDR,1
Sheri Jackson,3785,Production,Production       ,PL,1
Paul Richards,3786,Production,Production       ,PYZ,1
Alexis Gutierrez,3787,Production,Production       ,SVG,1
Michael Mcclure,3788,Production,Production       ,TNS,1
Randall Frey,3789,Production,Production       ,WBL,1
Matthew Le,3790,Production,Production       ,PYZ,1
Ashley Petty,3791,Production,Production       ,WBL,1
Angela Shaffer,3792,Production,Production       ,NEL,1
Steven Walton,3793,Production,Production       ,PL,1
Abigail Robinson,3794,Production,Production       ,BPC,1
