EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
2228,Kayley,Romero,12-Aug-18,13-Jun-22,IT Support,Michael Webb,kayley.romero@bilearner.com,MSC,Active,Part-Time,Zone B,Part-Time,Resignation,Partner performance newspaper sense all where.,IT/IS,Wireless,16-09-1942,MA,Laborer,Female,58630,White,Divorced,PIP,4
1617,Terrell,Crosby,18-Feb-22,,Production Technician I,Christina Powell,terrell.crosby@bilearner.com,BPC,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Aerial,27-12-1991,MA,Lineman,Female,12740,Black,Divorced,Needs Improvement,3
2244,Monica,Pham,4-Aug-22,,IT Manager - Support,Jesse Archer,monica.pham@bilearner.com,PYZ,Active,Contract,Zone C,Temporary,Unk,,IT/IS,Field Operations,8/12/1949,CT,Driller,Female,47299,Other,Married,Fully Meets,4
3678,Ramon,Fleming,22-Jul-21,,Production Technician I,Chad Ramirez,ramon.fleming@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,General - Eng,24-05-1999,MA,Drafter,Male,65321,Asian,Single,Fully Meets,3
2932,Braeden,Moss,19-Aug-21,25-May-23,Production Technician I,Lynn Beasley DVM,braeden.moss@bilearner.com,TNS,Terminated for Cause,Part-Time,Zone A,Full-Time,Involuntary,Democrat stage daughter any own whom.,Production       ,Finance & Accounting,13-01-1948,MA,Intern,Male,6449,Hispanic,Widowed,Fully Meets,4
1544,Skye,Cochran,9-Aug-20,6-Nov-22,Production Technician I,Jenna Martin,skye.cochran@bilearner.com,MSC,Active,Part-Time,Zone C,Temporary,Retirement,Night office challenge several many.,Production       ,General - Eng,18-05-1994,MA,Technician,Female,53393,Other,Married,Fully Meets,3
1838,Jayleen,Tran,8-Jul-19,,Production Technician I,Elizabeth Kaufman,jayleen.tran@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Aerial,16-09-1958,MA,Laborer,Female,4188,White,Widowed,Exceeds,3
2540,London,Bautista,18-Oct-22,10-Jan-23,Software Engineering Manager,Caroline Brooks,london.bautista@bilearner.com,CCDR,Active,Contract,Zone B,Part-Time,Resignation,Actually not sell one.,Software Engineering,Finance & Accounting,26-08-1994,MA,Svp,Female,61856,Black,Divorced,Fully Meets,4
3835,Axel,Higgins,2-Jan-19,6-Dec-22,IT Support,Paul Smith,axel.higgins@bilearner.com,NEL,Active,Part-Time,Zone B,Part-Time,Resignation,Try crime reach magazine their grow feeling.,IT/IS,Yard (Material Handling),11/10/1993,MA,Associate,Male,45952,Hispanic,Divorced,Fully Meets,3
3006,Efrain,Underwood,4-Oct-22,,Production Technician II,Michael Smith,efrain.underwood@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,26-07-1968,MA,Laborer,Female,88958,Asian,Single,Fully Meets,1
2681,Jaime,Greer,16-Jun-20,13-Aug-21,Area Sales Manager,Hannah Rose,jaime.greer@bilearner.com,WBL,Active,Part-Time,Zone C,Full-Time,Involuntary,Region hit sense national about.,Sales,Field Operations,4/2/1984,ID,Technician,Male,47652,Black,Married,Fully Meets,1
3479,Sarai,Stone,2-Aug-22,2-Apr-23,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
1071,Yadira,Mcmillan,28-Mar-19,17-Oct-20,Software Engineer,Amy Bell,yadira.mcmillan@bilearner.com,PL,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Guy ten dream. Thing he care series.,Software Engineering,Field Operations,23-06-1968,MA,Laborer,Male,30139,Black,Married,Fully Meets,3
2190,Kimberly,Horn,25-Apr-23,15-Jun-23,Production Technician II,Steven Kennedy,kimberly.horn@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Voluntary,Ago determine fact itself. Act employee but.,Production       ,General - Con,20-01-1985,MA,Laborer,Female,46637,Asian,Single,Needs Improvement,5
3203,Marianne,Eaton,19-Jan-21,11-Sep-22,Production Technician I,John Lutz,marianne.eaton@bilearner.com,PYZ,Voluntarily Terminated,Contract,Zone C,Part-Time,Voluntary,Subject network inside.,Production       ,General - Sga,10/9/1961,MA,Administrator,Female,2343,White,Single,Fully Meets,4
1327,Rhys,Lawson,14-Jan-19,,Sr. Network Engineer,Lisa Mills,rhys.lawson@bilearner.com,WBL,Active,Part-Time,Zone B,Temporary,Unk,,Admin Offices,Engineers,20-02-1960,MA,Engineer,Male,93156,White,Single,Fully Meets,3
1500,Brenden,Marks,13-May-19,,Production Technician I,Kevin Rodriguez,brenden.marks@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,2/2/1985,MA,Tower Hand,Female,92438,Hispanic,Divorced,Fully Meets,3
3899,Eugene,Pena,7-Mar-21,31-Aug-21,Sr. Network Engineer,Ruben Cook,eugene.pena@bilearner.com,BPC,Leave of Absence,Contract,Zone B,Part-Time,Resignation,Issue teacher page true relate. Fight out learn.,IT/IS,Engineers,22-06-1943,CT,Engineer,Female,88656,Other,Divorced,Fully Meets,3
3165,Kasey,Pineda,8-Mar-19,8-Feb-21,Production Technician I,Kenneth Wilkinson,kasey.pineda@bilearner.com,CCDR,Active,Part-Time,Zone C,Full-Time,Retirement,Truth hope she after.,Production       ,Field Operations,24-12-1994,MA,Laborer,Female,38677,Black,Single,Fully Meets,2
2973,Jacquelyn,Williams,1-Dec-19,,Production Technician I,Julia Poole,jacquelyn.williams@bilearner.com,SVG,Active,Part-Time,Zone C,Part-Time,Unk,,Production       ,General - Con,14-06-1951,MA,Flagger,Female,2109,Other,Married,Fully Meets,5
3471,Jonathan,Adkins,29-Feb-20,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,3/1/1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4
3716,Chaim,Chase,31-Jul-22,18-Feb-23,Production Technician II,David Goodman,chaim.chase@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Voluntary,Walk call activity onto seven about.,Production       ,General - Con,27-06-1993,MA,Laborer,Female,5569,Black,Married,Fully Meets,1
1339,Kadence,Gentry,1-Apr-21,14-Aug-22,Sr. Network Engineer,Michael Norton,kadence.gentry@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Retirement,Though upon remember later.,IT/IS,Wireline Construction,19-11-1981,MA,Foreman,Male,47635,Hispanic,Widowed,Fully Meets,3
2510,Ronald,Lamb,25-Nov-19,24-Feb-23,Software Engineer,Mitchell Oliver,ronald.lamb@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Retirement,Radio fight consumer senior traditional himself.,Software Engineering,Aerial,24-03-1988,MA,Lineman,Male,87866,Asian,Single,Fully Meets,1
1787,Layla,Gutierrez,6-Apr-19,15-Aug-20,Production Technician I,Edward Peterson,layla.gutierrez@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Voluntary,Perform question beyond article.,Production       ,Engineers,10/7/1956,MA,Engineer,Male,76007,Hispanic,Divorced,Fully Meets,3
3322,Roland,Berg,31-Jul-20,27-Sep-22,Production Technician II,Kathleen Bowen,roland.berg@bilearner.com,CCDR,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Voluntary,Different down happen near impact.,Production       ,Aerial,9/10/1943,MA,Lineman,Male,25557,White,Single,Fully Meets,4
3030,Kadin,Mcdowell,5-Jul-22,3-Jan-23,Production Technician II,Kevin Davis,kadin.mcdowell@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Left she before though finally.,Production       ,Wireline Construction,10/8/1953,MA,Laborer,Female,51064,White,Single,Fully Meets,1
1653,Greta,Fields,6-Nov-18,26-Dec-19,Area Sales Manager,Alyssa Gutierrez,greta.fields@bilearner.com,EW,Active,Part-Time,Zone B,Temporary,Involuntary,Within amount each onto hair. Single hope threat.,IT/IS,Field Operations,7/1/1957,MA,Foreman,Male,63435,Hispanic,Married,Fully Meets,3
3723,Elliana,Villanueva,29-Apr-22,16-Jul-22,Production Technician I,Ryan Downs,elliana.villanueva@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Zone A,Temporary,Retirement,Everyone chair white situation result.,Production       ,Wireline Construction,30-08-1972,MA,Laborer,Male,46742,Asian,Married,Fully Meets,3
1668,Taniyah,Mcmillan,10-Jul-23,,Senior BI Developer,Eric Mcclain,taniyah.mcmillan@bilearner.com,CCDR,Active,Part-Time,Zone C,Part-Time,Unk,,Admin Offices,Aerial,7/9/1947,MA,Laborer,Male,35842,Black,Single,Fully Meets,3
1432,Madeline,Bernard,18-Jul-19,,Production Technician II,Timothy Johnston,madeline.bernard@bilearner.com,PYZ,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Project Management - Con,29-07-1991,MA,Administration,Male,96784,White,Married,Exceeds,3
2092,Hadley,Benson,13-Nov-19,,Production Technician II,Sean Jones,hadley.benson@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Field Operations,9/9/1987,MA,Laborer,Female,36134,Asian,Widowed,Fully Meets,3
1173,Kaylyn,Patrick,14-Nov-20,1-Nov-21,Production Technician I,Christine Foster,kaylyn.patrick@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Zone C,Full-Time,Resignation,Sure trip sound action.,Production       ,Isp,30-01-1968,MA,Manager,Female,38596,White,Widowed,Fully Meets,3
3278,Mina,Bryant,8-Sep-20,17-Oct-21,Production Technician II,Angela Griffin MD,mina.bryant@bilearner.com,PL,Active,Contract,Zone A,Part-Time,Retirement,Take nice into true side job.,Production       ,Field Operations,15-11-1944,MA,Laborer,Female,4862,Black,Married,Fully Meets,4
3718,Dalton,Frazier,25-May-21,22-Oct-21,Production Technician II,Claudia White,dalton.frazier@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone C,Temporary,Voluntary,Save east phone arrive floor maybe.,Production       ,Field Operations,15-09-1946,MA,Driver,Female,52357,Other,Married,Fully Meets,4
1208,Jazlene,Mcdaniel,17-Aug-19,25-Oct-19,Production Manager,Melissa Greene,jazlene.mcdaniel@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Retirement,Decision example see low someone. Ball week that.,Production       ,Wireline Construction,30-12-1979,MA,Laborer,Female,59862,Black,Single,Fully Meets,3
2571,Hayley,Keller,17-Mar-21,8-Sep-22,BI Director,Megan Hart,hayley.keller@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Retirement,Maintain which memory born.,IT/IS,Field Operations,11/2/1989,MA,Technician,Female,30960,Asian,Divorced,Fully Meets,2
3749,Kayden,Soto,16-Feb-21,,Production Technician I,Samantha Pugh,kayden.soto@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Project Management - Eng,2/5/1985,MA,Planner,Female,27488,Other,Married,Fully Meets,4
3725,Ryker,Cox,7-Apr-19,9-Jul-23,Production Technician I,Stephanie Patterson,ryker.cox@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Voluntary,Child write help growth home.,Production       ,Aerial,21-08-1955,MA,Lineman,Male,36808,Asian,Widowed,Fully Meets,1
1725,Jamarcus,Thomas,30-May-21,,BI Developer,Nancy Cruz,jamarcus.thomas@bilearner.com,PL,Active,Contract,Zone A,Part-Time,Unk,,IT/IS,Field Operations,29-09-1947,MA,Technician,Male,55738,Black,Divorced,Fully Meets,3
3621,Victoria,Franco,28-Nov-18,,Production Technician I,Natalie Cannon,victoria.franco@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Wireless,9/9/1997,MA,Laborer,Male,15586,White,Married,Fully Meets,2
3490,Weston,Preston,11-Feb-19,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,10/7/1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2
3820,Anita,Shepard,11-Aug-18,21-May-21,Network Engineer,George Tran,anita.shepard@bilearner.com,EW,Active,Contract,Zone C,Full-Time,Voluntary,Pattern son memory power citizen personal unit.,IT/IS,General - Con,29-09-1976,MA,Foreman,Female,1773,Other,Divorced,Fully Meets,3
1154,Meadow,Avery,27-Sep-21,5-Feb-23,Production Technician I,Andrew Perez,meadow.avery@bilearner.com,MSC,Voluntarily Terminated,Full-Time,Zone C,Part-Time,Retirement,Leader above room hand collection imagine.,Production       ,Field Operations,1/11/1987,MA,Laborer,Female,76772,White,Married,Fully Meets,3
2010,Araceli,Mcguire,4-Feb-23,24-Jun-23,Production Technician I,Eric Vincent,araceli.mcguire@bilearner.com,SVG,Active,Part-Time,Zone B,Part-Time,Resignation,Food shake indicate cost happen up president.,Production       ,Catv,7/3/1949,MA,Laborer,Female,71663,Hispanic,Married,Fully Meets,3
1974,Jene'ya,Darson,14-Apr-21,,Production Technician I,Robert Joseph,jene'ya.darson@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Aerial,29-12-1968,MA,Supervisor,Female,2110,White,Widowed,Fully Meets,3
2852,Eden,Levy,6-Dec-21,,Production Technician I,Brianna Butler,eden.levy@bilearner.com,NEL,Active,Part-Time,Zone C,Temporary,Unk,,Production       ,Field Operations,20-11-1946,MA,Laborer,Male,87984,Other,Widowed,Fully Meets,1
3441,Prater,Jeremy,28-Apr-19,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4
2994,Sammy,Walter,18-Feb-22,,Production Technician I,Tiffany Smith,sammy.walter@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Engineers,10/5/1953,MA,Engineer,Male,14098,Other,Married,Fully Meets,4
2027,Liam,Figueroa,22-May-19,,Production Technician I,Michael Ortiz,liam.figueroa@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Unk,,Production       ,Fielders,4/8/1974,MA,Engineer,Female,42458,Black,Single,Fully Meets,3
1517,Leyla,Davila,2-Dec-21,25-Apr-22,Production Technician II,Deborah Clark,leyla.davila@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Involuntary,From through each buy.,Production       ,Splicing,5/3/1986,MA,Splicer,Male,4704,White,Married,Fully Meets,3
2538,Isaias,Pineda,14-Sep-19,,BI Developer,Ebony Shepard,isaias.pineda@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,IT/IS,Wireline Construction,19-02-1986,MA,Groundman,Female,95322,Hispanic,Single,Fully Meets,5
3630,Stephanie,Briggs,23-Feb-19,,Production Technician I,Scott Davis,stephanie.briggs@bilearner.com,MSC,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Field Operations,7/5/1965,MA,Laborer,Male,81819,Other,Widowed,Fully Meets,5
2845,Jett,York,3-Sep-20,,Production Technician II,Nancy Newman,jett.york@bilearner.com,WBL,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,General - Con,18-06-1979,MA,Foreman,Female,60312,White,Single,Fully Meets,4
3579,Constance,Sloan,20-May-21,,Production Technician II,Sean Marsh,constance.sloan@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Field Operations,15-11-1946,MA,Laborer,Female,1851,Asian,Widowed,Needs Improvement,4
3328,Braylen,Cruz,24-Oct-20,11-Apr-23,Production Technician I,Pamela Carter,braylen.cruz@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Resignation,Room that ahead sound work short right.,Production       ,Engineers,6/2/1961,MA,Engineer,Male,24046,White,Married,Fully Meets,3
1786,Tara,Hoover,31-Mar-22,14-Jun-22,Production Technician I,Daniel Banks,tara.hoover@bilearner.com,PL,Active,Full-Time,Zone A,Temporary,Resignation,Treatment itself various campaign.,Production       ,Field Operations,10/11/1979,MA,Laborer,Male,67173,Hispanic,Widowed,Fully Meets,3
1199,Jason,Munoz,12-Dec-20,,Production Technician I,Richard Graves,jason.munoz@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,14-04-1950,MA,Laborer,Female,75258,White,Widowed,Fully Meets,3
3105,Josie,Melton,7-Jun-20,9-Jul-22,Production Technician I,Scott Stone,josie.melton@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Resignation,Figure kind agent send even west.,Production       ,Fielders,12/5/1943,MA,Engineer,Male,86764,Black,Married,Fully Meets,1
1428,Campbell,Doyle,8-Dec-22,,Production Technician II,Paula Ross,campbell.doyle@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Executive,26-02-1970,MA,Director,Male,76607,White,Divorced,Exceeds,3
1145,Autumn,Barrera,24-Sep-20,,Production Technician II,David Moore,autumn.barrera@bilearner.com,TNS,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Shop (Fleet),4/3/1948,MA,Shop,Male,66792,Hispanic,Married,Fully Meets,3
1039,Nolan,Perez,22-Aug-19,25-Mar-22,Software Engineer,Joshua Daniels,nolan.perez@bilearner.com,EW,Voluntarily Terminated,Part-Time,Zone B,Part-Time,Involuntary,Under follow guess lot minute able history face.,Software Engineering,Finance & Accounting,17-11-1982,MA,Administrative,Female,46407,Other,Widowed,Fully Meets,3
1269,Elyse,Pratt,23-Aug-22,,Production Technician I,Brianna Blanchard,elyse.pratt@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Yard (Material Handling),28-04-1965,MA,Laborer,Female,82774,Black,Divorced,Fully Meets,3
3693,Amya,Vega,20-May-19,30-Aug-20,Production Technician II,Alexa Smith,amya.vega@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Involuntary,Name social full approach. Position want win.,Production       ,Project Management - Con,1/8/1977,MA,Field Project Manager,Female,13727,White,Married,Exceeds,2
3478,Thomas,Chandler,17-Sep-18,9-Jan-19,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2
1622,Matthew,Westinghouse,30-Aug-21,22-Mar-22,BI Developer,Cynthia Goodwin,matthew.westinghouse@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Retirement,Television represent skill police.,IT/IS,Aerial,21-01-1942,MA,Director,Male,2134,Asian,Single,Needs Improvement,3
1697,Mattie,Peters,24-May-23,21-Jul-23,BI Developer,Melanie Campbell,mattie.peters@bilearner.com,MSC,Active,Full-Time,Zone B,Part-Time,Retirement,Soon color sit call certainly.,IT/IS,General - Con,15-06-1987,MA,Foreman,Male,3758,Asian,Widowed,Fully Meets,3
1918,Callum,Blair,9-Jan-23,14-Mar-23,Production Technician I,Kayla Shelton,callum.blair@bilearner.com,MSC,Active,Contract,Zone B,Temporary,Involuntary,Talk beyond year seven.,Production       ,Field Operations,12/9/1990,MA,Supervisor,Female,36065,Black,Single,Fully Meets,3
