EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel
3427,2019-09-20,,Production,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance,1969,Northeast,Finance & Analysis,Female,34904,White,Widowed,Fully Meets,4,True,55.73169062286105,2111,Entry
3428,2023-02-11,,Production,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Field Engineering / Operations,,Northeast,Labor & Site Work,Male,6593,Hispanic,Widowed,Fully Meets,3,True,,871,Entry
3429,2018-12-10,,Sales,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General Operations,1991,Northeast,Admin & Support,Male,2330,Hispanic,Widowed,Fully Meets,4,True,33.73579739904175,2395,Manager
3430,2021-06-21,,Sales,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance,1998,Midwest,Admin & Support,Male,58782,Other,Single,Fully Meets,2,True,27.241615331964407,1471,Manager
3431,2019-06-29,,Sales,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General Operations,,South,Labor & Site Work,Female,33174,Other,Married,Fully Meets,3,True,,2194,Manager
3432,2020-01-17,,Sales,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1949,Northeast,Other,Male,6050,Black,Married,Fully Meets,3,True,76.24366872005476,1992,Manager
3433,2022-04-06,2023-07-03,Sales,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General Operations,1942,West,Field Operations,Female,90007,Hispanic,Divorced,Exceeds,4,False,83.00068446269678,453,Manager
3434,2020-11-06,2023-01-29,Sales,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Field Engineering / Operations,1957,West,Engineering,Female,97756,White,Divorced,Fully Meets,2,False,68.31759069130733,814,Manager
3435,2018-08-18,,Sales,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,,South,Executive & Leadership,Male,78789,Black,Widowed,Exceeds,3,True,,2509,Manager
3436,2022-01-21,2023-06-29,Sales,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Field Engineering / Operations,1949,South,Engineering,Male,78207,Asian,Widowed,Fully Meets,5,False,75.63586584531143,524,Manager
3437,2023-08-04,,Sales,Troy White,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,,Midwest,Field Operations,Female,46204,Other,Single,Fully Meets,5,True,,697,Manager
3438,2018-08-10,2019-11-04,Sales,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General Operations,1948,South,Field Operations,Female,30428,Asian,Married,Fully Meets,3,False,77.23477070499658,451,Manager
3439,2022-05-25,2022-11-27,Sales,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Field Engineering / Operations,,Other,Other,Male,80820,Other,Single,Fully Meets,3,False,,186,Manager
3440,2019-12-05,2023-02-17,Sales,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance,1951,South,Finance & Analysis,Female,40220,White,Divorced,Fully Meets,3,False,73.65092402464066,1170,Manager
3441,2019-04-28,,Sales,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,,West,Field Operations,Male,89139,Asian,Widowed,Exceeds,4,True,,2256,Manager
3442,2019-07-09,2022-06-16,Sales,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Engineering / Operations,,Northeast,Labor & Site Work,Male,2810,Black,Single,Exceeds,2,False,,1073,Manager
3443,2021-04-05,2023-05-12,Sales,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management,1994,South,Project / Site Management,Male,2621,Asian,Widowed,Fully Meets,3,False,31.23066392881588,767,Manager
3444,2021-11-28,2022-02-04,Sales,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Field Engineering / Operations,,South,Executive & Leadership,Male,44553,Other,Widowed,Fully Meets,3,False,,68,Manager
3445,2021-01-16,,Sales,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management,1985,South,Project / Site Management,Female,5360,Other,Married,Exceeds,4,True,39.564681724846,1627,Manager
3446,2021-08-24,,Sales,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,1996,South,Field Operations,Female,16325,White,Divorced,Exceeds,2,True,29.16632443531828,1407,Manager
3447,2020-05-26,2023-06-18,Sales,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General Operations,,South,Field Operations,Female,43481,Asian,Widowed,Fully Meets,3,False,,1118,Manager
3448,2019-10-01,2020-11-06,Sales,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Field Engineering / Operations,1958,South,Other,Male,50705,Asian,Widowed,Fully Meets,3,False,67.13757700205339,402,Manager
3449,2023-05-10,2023-05-27,Sales,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General Operations,,Other,Field Operations,Male,5168,Black,Single,Fully Meets,5,False,,17,Manager
3450,2020-09-01,2022-12-04,Sales,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Engineering / Operations,1994,Other,Field Operations,Male,11765,Other,Single,Exceeds,2,False,30.888432580424368,824,Manager
3451,2021-02-18,2022-11-11,Sales,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General Operations,,Other,Field Operations,Male,71071,Other,Divorced,Exceeds,3,False,,631,Manager
3452,2022-11-08,,Sales,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,1947,Midwest,Project / Site Management,Male,12122,Black,Divorced,Fully Meets,2,True,78.48049281314168,966,Manager
3453,2022-10-13,,Sales,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Field Engineering / Operations,1982,Northeast,Engineering,Male,87065,White,Widowed,Fully Meets,4,True,43.23340177960301,992,Manager
3454,2022-09-11,,Sales,Brian Dunlap,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General Operations,,South,Project / Site Management,Male,10415,Hispanic,Married,Needs Improvement,4,True,,1024,Manager
3455,2021-06-29,2022-07-05,Sales,Daniel Rodriguez,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management,,South,Project / Site Management,Male,3763,Other,Widowed,Exceeds,4,False,,371,Manager
3456,2023-03-06,,Sales,Martin Hammond,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,,South,Field Operations,Female,79623,Black,Divorced,Fully Meets,3,True,,848,Manager
3457,2020-09-25,,Sales,Sara Bell,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,,South,Field Operations,Female,69189,White,Divorced,Needs Improvement,3,True,,1740,Manager
3458,2022-04-28,2023-05-24,Sales,Elizabeth Anderson,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Engineering / Operations,1996,South,Labor & Site Work,Female,5194,Hispanic,Single,Needs Improvement,3,False,28.88432580424367,391,Manager
3459,2021-04-18,2022-06-21,Sales,Erin Bailey,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General Operations,1944,South,Other,Male,8779,Black,Widowed,Exceeds,2,False,81.39082819986311,429,Manager
3460,2020-02-19,,Sales,Dennis Henderson,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Field Engineering / Operations,1944,South,Field Operations,Male,74682,Asian,Married,Fully Meets,3,True,81.38809034907598,1959,Manager
3461,2019-07-18,2021-10-01,Sales,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General Operations,,Other,Project / Site Management,Male,78046,Hispanic,Married,Needs Improvement,1,False,,806,Manager
3462,2018-09-13,2021-09-17,Sales,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Engineering / Operations,1942,Other,Project / Site Management,Male,27270,Hispanic,Divorced,Needs Improvement,3,False,82.89390828199863,1100,Manager
3463,2020-04-30,2021-07-18,Sales,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Engineering / Operations,,Midwest,Field Operations,Male,12703,Hispanic,Single,Fully Meets,1,False,,444,Manager
3464,2018-12-03,2022-09-09,Sales,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Logistics / Maintenance,,Northeast,Maintenance & Logistics,Male,66835,Black,Widowed,Needs Improvement,5,False,,1376,Manager
3465,2021-11-08,,Sales,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General Operations,1962,Northeast,Labor & Site Work,Male,66150,Asian,Divorced,Needs Improvement,3,True,63.4798083504449,1331,Manager
3466,2022-04-13,2023-04-10,Sales,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Field Engineering / Operations,,South,Project / Site Management,Male,64288,Other,Married,Exceeds,4,False,,362,Manager
3467,2020-05-06,,Sales,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,,South,Engineering,Female,94333,Asian,Divorced,Exceeds,1,True,,1882,Manager
3468,2019-09-09,,Sales,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,,South,Project / Site Management,Female,45453,Black,Single,Fully Meets,4,True,,2122,Manager
3469,2020-07-29,2023-01-05,Sales,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Engineering / Operations,,South,Other,Female,81905,Asian,Divorced,Needs Improvement,3,False,,890,Manager
3470,2018-11-14,2019-10-28,Sales,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Engineering / Operations,,South,Field Operations,Female,12491,Black,Married,Needs Improvement,3,False,,348,Manager
3471,2020-02-29,,Sales,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Engineering / Operations,1967,South,Project / Site Management,Male,64350,Asian,Married,Fully Meets,4,True,58.49144421629021,1949,Manager
3472,2023-01-15,,Sales,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management,1982,South,Executive & Leadership,Male,74124,Other,Married,Exceeds,4,True,43.46611909650924,898,Manager
3473,2023-06-29,,Sales,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Logistics / Maintenance,1950,Other,Project / Site Management,Male,33379,Hispanic,Widowed,Exceeds,2,True,74.74880219028063,733,Manager
3474,2020-03-09,,Sales,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,,Other,Labor & Site Work,Male,34481,Other,Divorced,Fully Meets,2,True,,1940,Manager
3475,2021-09-21,2023-04-13,Sales,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General Operations,,Midwest,Project / Site Management,Male,90406,Asian,Widowed,Fully Meets,2,False,,569,Manager
3476,2023-06-12,2023-07-06,Sales,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Field Engineering / Operations,,Northeast,Engineering,Male,95774,Asian,Divorced,Needs Improvement,2,False,,24,Manager
3477,2019-04-07,,Sales,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Field Engineering / Operations,1969,South,Labor & Site Work,Female,16058,Asian,Widowed,Needs Improvement,2,True,55.57563312799452,2277,Manager
3478,2018-09-17,2019-01-09,Sales,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Field Engineering / Operations,1957,South,Labor & Site Work,Female,45149,Hispanic,Married,Fully Meets,2,False,67.72347707049965,114,Manager
3479,2022-08-02,2023-04-02,Sales,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management,,South,Field Operations,Female,96336,Hispanic,Widowed,Fully Meets,2,False,,243,Manager
3480,2022-09-08,2022-10-16,Sales,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Field Engineering / Operations,1946,South,Project / Site Management,Female,75671,Black,Widowed,Fully Meets,1,False,78.89390828199863,38,Manager
3481,2019-03-07,2021-05-31,Sales,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Field Engineering / Operations,1965,South,Other,Male,61149,Other,Widowed,Fully Meets,4,False,59.553730321697465,816,Manager
3482,2019-10-29,2021-02-07,Sales,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Field Engineering / Operations,1990,South,Field Operations,Male,57302,Asian,Divorced,Needs Improvement,2,False,35.383983572895275,467,Manager
3483,2021-09-26,,Sales,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management,,Other,Project / Site Management,Male,42605,Asian,Widowed,Fully Meets,1,True,,1374,Manager
3484,2018-08-29,,Sales,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General Operations,,Other,Admin & Support,Male,64036,Other,Single,Fully Meets,4,True,,2498,Manager
3485,2021-10-26,,Sales,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Engineering / Operations,,Other,Labor & Site Work,Male,23173,White,Widowed,Fully Meets,5,True,,1344,Manager
3486,2022-10-31,2023-06-08,Sales,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Field Engineering / Operations,,Midwest,Engineering,Male,19665,Other,Widowed,Fully Meets,4,False,,220,Manager
3487,2023-03-15,,Sales,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General Operations,1994,South,Admin & Support,Female,41161,Other,Divorced,Fully Meets,4,True,31.4113620807666,839,Manager
3488,2022-09-09,,Sales,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1997,South,Field Operations,Female,52499,Asian,Single,Fully Meets,2,True,27.633127994524298,1026,Manager
3489,2022-03-04,,Sales,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Engineering / Operations,1953,South,Labor & Site Work,Female,25634,Black,Divorced,Fully Meets,2,True,72.16427104722793,1215,Manager
3490,2019-02-11,,Sales,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,1991,South,Executive & Leadership,Female,37965,Hispanic,Divorced,Fully Meets,2,True,33.97672826830938,2332,Manager
3491,2021-01-26,,Sales,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1973,South,Other,Male,39504,White,Widowed,Fully Meets,5,True,52.07939767282683,1617,Manager
3492,2019-11-26,,Sales,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General Operations,1993,Other,Admin & Support,Male,31676,Asian,Married,Fully Meets,1,True,32.47638603696099,2044,Manager
3493,2019-07-15,,Sales,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management,,Other,Project / Site Management,Male,28784,Asian,Widowed,Fully Meets,5,True,,2178,Manager
3494,2020-06-18,,Sales,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General Operations,1994,Other,Field Operations,Male,90983,Black,Single,Fully Meets,4,True,31.392197125256672,1839,Manager
3495,2023-06-22,2023-07-22,Sales,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Field Engineering / Operations,,Midwest,Labor & Site Work,Male,1115,Other,Married,Fully Meets,4,False,,30,Manager
3496,2021-12-02,,Sales,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General Operations,,West,Admin & Support,Male,72233,Other,Widowed,Fully Meets,5,True,,1307,Manager
3497,2021-12-08,,Sales,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management,,West,Field Operations,Female,58210,Hispanic,Widowed,Fully Meets,1,True,,1301,Manager
3498,2023-04-26,2023-06-22,Sales,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General Operations,,South,Labor & Site Work,Female,36087,White,Widowed,Fully Meets,2,False,,57,Manager
3499,2018-09-25,2021-12-20,Sales,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Engineering / Operations,,South,Field Operations,Female,61457,Asian,Widowed,Fully Meets,5,False,,1182,Manager
