EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel,StartYear,GroupMeanAge,SampleCount
3427,2019-09-20,,Production,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance,1970,Northeast,Finance & Analysis,Female,34904,White,Widowed,Fully Meets,4,True,55.73169062286105,2111,Entry,2019,53.56418369675043,525
3428,2023-02-11,,Production,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Field Engineering / Operations,1972,Northeast,Labor & Site Work,Male,6593,Hispanic,Widowed,Fully Meets,3,True,53.06234417213988,871,Entry,2023,53.56418369675043,525
3429,2018-12-10,,Sales,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General Operations,1970,Northeast,Admin & Support,Male,2330,Hispanic,Widowed,Fully Meets,4,True,33.73579739904175,2395,Manager,2018,53.88320577437621,132
3430,2021-06-21,,Sales,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance,1970,Midwest,Admin & Support,Male,58782,Other,Single,Fully Meets,2,True,27.241615331964407,1471,Manager,2021,53.88320577437621,132
3431,2019-06-29,,Sales,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General Operations,1969,South,Labor & Site Work,Female,33174,Other,Married,Fully Meets,3,True,55.68606300001587,2194,Manager,2019,53.88320577437621,132
3432,2020-01-17,,Sales,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Engineering / Operations,1970,Northeast,Other,Male,6050,Black,Married,Fully Meets,3,True,76.24366872005476,1992,Manager,2020,53.88320577437621,132
3433,2022-04-06,2023-07-03,Sales,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General Operations,1970,West,Field Operations,Female,90007,Hispanic,Divorced,Exceeds,4,False,83.00068446269678,453,Manager,2022,53.88320577437621,132
3434,2020-11-06,2023-01-29,Sales,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Field Engineering / Operations,1970,West,Engineering,Female,97756,White,Divorced,Fully Meets,2,False,68.31759069130733,814,Manager,2020,53.88320577437621,132
3435,2018-08-18,,Sales,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,1970,South,Executive & Leadership,Male,78789,Black,Widowed,Exceeds,3,True,54.81118154162183,2509,Manager,2018,53.88320577437621,132
3436,2022-01-21,2023-06-29,Sales,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Field Engineering / Operations,1970,South,Engineering,Male,78207,Asian,Widowed,Fully Meets,5,False,75.63586584531143,524,Manager,2022,53.88320577437621,132
3437,2023-08-04,,Sales,Troy White,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Engineering / Operations,1971,Midwest,Field Operations,Female,46204,Other,Single,Fully Meets,5,True,54.277839711164354,697,Manager,2023,53.88320577437621,132
3438,2018-08-10,2019-11-04,Sales,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General Operations,1970,South,Field Operations,Female,30428,Asian,Married,Fully Meets,3,False,77.23477070499658,451,Manager,2018,53.88320577437621,132
3439,2022-05-25,2022-11-27,Sales,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Field Engineering / Operations,1972,Other,Other,Male,80820,Other,Single,Fully Meets,3,False,52.50728033614595,186,Manager,2022,53.88320577437621,132
3440,2019-12-05,2023-02-17,Sales,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance,1970,South,Finance & Analysis,Female,40220,White,Divorced,Fully Meets,3,False,73.65092402464066,1170,Manager,2019,53.88320577437621,132
3441,2019-04-28,,Sales,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,1972,West,Field Operations,Male,89139,Asian,Widowed,Exceeds,4,True,52.50718385572102,2256,Manager,2019,53.88320577437621,132
3442,2019-07-09,2022-06-16,Sales,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Engineering / Operations,1973,Northeast,Labor & Site Work,Male,2810,Black,Single,Exceeds,2,False,52.115540223049,1073,Manager,2019,53.88320577437621,132
3443,2021-04-05,2023-05-12,Sales,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management,1970,South,Project / Site Management,Male,2621,Asian,Widowed,Fully Meets,3,False,31.23066392881588,767,Manager,2021,53.88320577437621,132
3444,2021-11-28,2022-02-04,Sales,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Field Engineering / Operations,1970,South,Executive & Leadership,Male,44553,Other,Widowed,Fully Meets,3,False,55.347910357475946,68,Manager,2021,53.88320577437621,132
3445,2021-01-16,,Sales,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management,1970,South,Project / Site Management,Female,5360,Other,Married,Exceeds,4,True,39.564681724846,1627,Manager,2021,53.88320577437621,132
3446,2021-08-24,,Sales,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Engineering / Operations,1970,South,Field Operations,Female,16325,White,Divorced,Exceeds,2,True,29.16632443531828,1407,Manager,2021,53.88320577437621,132
3447,2020-05-26,2023-06-18,Sales,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General Operations,1971,South,Field Operations,Female,43481,Asian,Widowed,Fully Meets,3,False,54.287665821349044,1118,Manager,2020,53.88320577437621,132
3448,2019-10-01,2020-11-06,Sales,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Field Engineering / Operations,1970,South,Other,Male,50705,Asian,Widowed,Fully Meets,3,False,67.13757700205339,402,Manager,2019,53.88320577437621,132
3449,2023-05-10,2023-05-27,Sales,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General Operations,1970,Other,Field Operations,Male,5168,Black,Single,Fully Meets,5,False,54.71549608556039,17,Manager,2023,53.88320577437621,132
3450,2020-09-01,2022-12-04,Sales,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Engineering / Operations,1970,Other,Field Operations,Male,11765,Other,Single,Exceeds,2,False,30.888432580424368,824,Manager,2020,53.88320577437621,132
3451,2021-02-18,2022-11-11,Sales,Michael Bradshaw,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General Operations,1973,Other,Field Operations,Male,71071,Other,Divorced,Exceeds,3,False,51.965543751559416,631,Manager,2021,53.88320577437621,132
3452,2022-11-08,,Sales,Debbie Crosby,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General Operations,1970,Midwest,Project / Site Management,Male,12122,Black,Divorced,Fully Meets,2,True,78.48049281314168,966,Manager,2022,53.88320577437621,132
3453,2022-10-13,,Sales,Elizabeth Taylor,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Field Engineering / Operations,1970,Northeast,Engineering,Male,87065,White,Widowed,Fully Meets,4,True,43.23340177960301,992,Manager,2022,53.88320577437621,132
