EmpID,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3427,2019-09-20,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,7/10/1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4
3428,2023-02-11,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3
3429,2018-12-10,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,6/10/1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4
3430,2021-06-21,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,4/4/1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2
3431,2019-06-29,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3
3432,2020-01-17,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,3/4/1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3
3433,2022-04-06,2023-07-03,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,1/7/1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4
3434,2020-11-06,2023-01-29,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,7/3/1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2
3435,2018-08-18,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3
3436,2022-01-21,2023-06-29,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11/11/1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5
3437,2023-08-04,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5
3438,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,6/4/1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3
3439,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3
3440,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,6/11/1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3
3441,2019-04-28,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4
3442,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2
3443,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,8/4/1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3
3444,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3
3445,2021-01-16,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,7/12/1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4
3446,2021-08-24,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,1/5/1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2
3447,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,17-02-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3
3448,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,12/5/1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3
3449,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,18-09-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5
3450,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,11/8/1994,CO,Operator,Male,11765,Other,Single,Exceeds,2
